deposit_id,deposit_total,achieved_total,diff_total,diff_pct,num_tickets,tolerance_used
1417,18443.0,15000.0,3443.0,18.66832944748685,1,0.2
1416,18455.0,15000.0,3455.0,18.721213763207803,1,0.2
1415,18496.0,15000.0,3496.0,18.901384083044984,1,0.2
1338,18994.28,22761.6,3767.3199999999997,19.83397106918504,2,0.2
1414,19006.0,16365.46,2640.540000000001,13.893191623697785,2,0.2
1413,19164.0,19930.72,766.7200000000012,4.00083489876853,3,0.2
1412,19319.0,17725.0,1594.0,8.250944665872975,3,0.2
1411,19481.5,16352.0,3129.5,16.063958114108257,3,0.2
1410,19511.0,18205.75,1305.25,6.689816001230076,4,0.2
1409,19540.0,17034.09,2505.91,12.82451381780962,4,0.2
1408,19611.0,17981.98,1629.0200000000004,8.306664626995056,5,0.2
1407,19800.0,16876.4,2923.5999999999985,14.765656565656556,5,0.2
1406,20272.0,16876.4,3395.5999999999985,16.75019731649565,5,0.2
1404,20544.0,16876.4,3667.5999999999985,17.85241433021806,5,0.2
1403,20590.0,16876.4,3713.5999999999985,18.03593977659057,5,0.2
1402,20756.0,16876.4,3879.5999999999985,18.691462709577948,5,0.2
1401,20871.0,16876.4,3994.5999999999985,19.139475827703507,5,0.2
1382,25532.0,23626.96,1905.0400000000009,7.461381795394019,7,0.2
1371,28940.0,23195.63,5744.369999999999,19.849239806496197,7,0.2
1370,29568.5,25055.660000000003,4512.8399999999965,15.262323080305043,8,0.2
1369,29977.5,24218.260000000002,5759.239999999998,19.21187557334667,8,0.2
1368,30050.0,24225.980000000003,5824.019999999997,19.381098169717127,9,0.2
1367,30335.0,26506.089999999997,3828.9100000000035,12.622086698533058,11,0.2
1366,30730.0,25750.119999999995,4979.880000000005,16.20527172144486,11,0.2
1365,30750.0,25678.689999999995,5071.310000000005,16.492065040650424,11,0.2
1364,30944.0,26380.010000000002,4563.989999999998,14.749192088934842,12,0.2
1363,31033.0,25489.420000000002,5543.579999999998,17.86350014500692,12,0.2
1362,31356.0,26869.300000000003,4486.699999999997,14.30890419696389,13,0.2
1361,31865.0,26318.069999999996,5546.930000000004,17.40759453946337,13,0.2
1360,31968.0,27423.380000000005,4544.619999999995,14.21615365365364,14,0.2
1359,32555.0,27330.800000000007,5224.199999999993,16.047304561511268,14,0.2
1358,32863.0,27330.800000000007,5532.199999999993,16.834129568207388,14,0.2
1357,34200.0,28964.059999999998,5235.940000000002,15.30976608187135,15,0.2
1356,35292.0,28308.489999999998,6983.510000000002,19.787798934602748,15,0.2
1355,36012.0,29522.219999999998,6489.7800000000025,18.02115961346219,16,0.2
1354,36084.0,28939.65,7144.3499999999985,19.799218490189556,16,0.2
1353,37185.0,30368.29,6816.709999999999,18.331881134866208,17,0.2
1352,37350.0,30071.069999999996,7278.930000000004,19.48843373493977,17,0.2
1351,37984.5,31552.629999999997,6431.870000000003,16.932880517053015,18,0.2
1339,38029.72,31058.289999999994,6971.430000000008,18.331531233992802,18,0.2
1350,38160.0,30548.179999999997,7611.820000000003,19.947117400419295,18,0.2
1349,38582.0,31775.509999999995,6806.490000000005,17.641620444767003,19,0.2
1348,40385.0,32720.53,7664.470000000001,18.97850687136313,20,0.2
1346,41536.0,33486.29,8049.709999999999,19.380079930662557,21,0.2
1345,41750.0,34233.229999999996,7516.770000000004,18.004239520958095,22,0.2
1344,42050.0,34939.240000000005,7110.759999999995,16.910249702734827,23,0.2
1343,42105.0,34494.91,7610.0899999999965,18.074076712979448,23,0.2
1342,43413.0,35497.060000000005,7915.939999999995,18.2340312809527,24,0.2
1341,43781.0,36349.52,7431.480000000003,16.97421255795894,25,0.2
1340,44712.0,37072.72,7639.279999999999,17.085525138665233,26,0.2
